id,AspectTerms,OpinionTerms,Categories,Polarities
198,_,不紧绷,使用体验,正面
203,_,用着挺好的,整体,正面
203,物流,物流挺快的,物流,正面
202,_,很喜欢,整体,正面
202,_,值得购买,整体,正面
204,_,还可以,整体,正面
192,_,很好用,整体,正面
192,_,很舒服,使用体验,正面
190,价格,合适,价格,正面
190,_,不错,整体,正面
185,_,应该不错,整体,正面
205,_,很好,整体,正面
205,_,贴肤,使用体验,正面
205,_,不卡粉,使用体验,正面
196,_,最扣的,整体,负面
196,包装盒子,没有,包装,负面
199,物流,很快,物流,正面
199,_,很满意,整体,正面
199,_,还不错,整体,正面
186,物流速度,就是快,物流,正面
186,多送了20片,_,服务,正面
186,_,非常不错,整体,正面
200,_,可以的,整体,正面
200,_,有些油,使用体验,负面
200,_,不要购买,整体,负面
174,_,不错不错,整体,正面
174,_,很好闻,气味,正面
174,_,质量很好,整体,正面
174,_,值得信赖,整体,正面
194,_,泡泡不是很多,使用体验,中性
194,气味,很好闻,气味,正面
194,气味,淡淡的清香,气味,正面
207,_,很喜欢,整体,正面
207,_,很好用,使用体验,正面
207,_,香味不重,气味,正面
207,_,不刺激,使用体验,正面
207,_,特别好,整体,正面
191,_,很不错,整体,正面
191,_,给老婆买的，希望老婆能喜欢,整体,中性
215,_,非常好用,整体,正面
215,_,很干净,使用体验,正面
197,_,还行,整体,中性
197,_,第三次买,整体,正面
201,_,很不错,整体,正面
201,_,赞一个,整体,正面
201,_,很喜欢,整体,正面
201,送货速度,快,物流,正面
201,_,棒棒的,整体,正面
214,_,效果不错,整体,正面
214,_,满意,整体,正面
179,_,物超所值,价格,正面
179,_,物聊超快,物流,正面
195,_,一般,整体,中性
195,黑头,效果一般,功效,中性
212,_,假的,真伪,负面
212,_,一个泡沫都没有,使用体验,负面
210,_,贵,价格,负面
210,双十二活动,给力,价格,正面
210,_,郁闷,整体,负面
206,礼盒,大大的幸福,包装,正面
206,盒子,很精美,包装,正面
206,_,良心卖家,整体,正面
206,_,很好用,使用体验,正面
180,_,容易推开,使用体验,正面
180,_,不油腻,使用体验,正面
180,防晒效果,挺快,功效,正面
180,_,有一丢丢泛白,使用体验,中性
180,_,挺不错,整体,正面
224,_,好用,整体,正面
209,_,最好,整体,正面
209,速度,速度快,物流,正面
209,_,放心,使用体验,正面
225,_,闷闷的,使用体验,负面
208,_,挺好用的,使用体验,正面
208,_,很舒服,使用体验,正面
208,味道,香香的,气味,正面
208,_,很滑,使用体验,正面
208,_,好评,整体,正面
226,_,用的很好,整体,正面
228,_,大爱,整体,正面
228,_,速度飞快,物流,正面
229,_,皮肤光滑,使用体验,正面
229,_,值得购买,整体,正面
218,_,不错呢,整体,正面
218,快递,超级给力,物流,正面
217,_,不错,整体,正面
217,_,补水保湿,功效,正面
234,_,还是一样好,整体,正面
227,_,好好用,整体,正面
227,_,很方便,使用体验,正面
227,品质,值得信赖,整体,正面
220,包装,挺好看,包装,正面
220,快递小哥,亲自送到家,服务,正面
230,_,很好用,整体,正面
230,_,这个不过敏,使用体验,正面
233,_,物超所值,整体,正面
233,_,全5分好评,整体,正面
235,_,还好,整体,中性
219,成分,安全,成分,正面
219,活动,_,价格,正面
219,_,很好用,整体,正面
219,_,很惊喜,整体,正面
219,赠品,_,价格,正面
219,_,颜值在线,使用体验,正面
219,_,好开森,整体,正面
223,_,很好用,使用体验,正面
223,_,涨价了,价格,负面
221,_,不错,整体,正面
221,小东西,很多,价格,正面
221,_,喜欢,整体,正面
222,拼购买,_,价格,正面
222,_,很便宜,价格,正面
244,_,不错,整体,正面
244,_,非常好用,整体,正面
243,_,一般,整体,中性
243,眼霜,没什么效果,功效,负面
237,_,挺好,整体,正面
239,_,吸收很好,使用体验,正面
239,_,适合,整体,正面
239,_,很喜欢,整体,正面
211,_,哈哈,整体,正面
211,补水效果,特别好,功效,正面
211,_,很喜欢,整体,正面
245,送货上门,_,物流,中性
245,速度,快,物流,正面
250,_,质量不错,整体,正面
213,_,效果不好,功效,负面
213,_,没有其他款式的好用,整体,负面
231,物流,物流快,物流,正面
231,_,真心不错,整体,正面
231,_,我喜欢的,整体,正面
231,_,下次再买,整体,正面
240,_,今天早上就收到了,物流,正面
240,_,不错,整体,正面
236,紫色,_,其他,中性
236,_,水润轻薄,使用体验,正面
236,_,保湿,使用体验,正面
249,_,挺好的,整体,正面
249,_,滋润,使用体验,正面
249,_,不油腻,使用体验,正面
248,_,很美白,功效,正面
248,味道,很舒服,气味,正面
248,_,很喜欢,整体,正面
248,_,大爱,整体,正面
259,_,好小,尺寸,负面
247,面膜,效果还不错,功效,正面
257,_,买一送一,价格,正面
257,_,好,整体,正面
258,_,非常非常的好用,整体,正面
258,_,第二次购买,整体,正面
258,_,值得信赖,整体,正面
246,服务,很好,服务,正面
246,_,性价比高,价格,正面
246,_,很不错,整体,正面
242,_,便宜,价格,中性
242,_,第一次买也是最后一次买,整体,负面
268,_,总体不错,整体,正面
262,_,好评,整体,正面
262,_,好用,使用体验,正面
264,_,不好的体验,使用体验,负面
254,_,一般吧,整体,中性
254,_,没有想象中的好用,整体,负面
254,_,纯补水,功效,中性
263,_,物有所值,整体,正面
263,盒子,送了一个,价格,正面
253,_,希望好用,整体,中性
253,客服小海狮的服务,感谢,服务,正面
252,_,脸过敏,使用体验,负面
252,_,起红点红斑,使用体验,负面
252,_,非常痛,使用体验,负面
252,_,毁容了,使用体验,负面
252,_,非常恼火,整体,负面
238,买贵了,买贵了,价格,负面
238,优惠卷,70的优惠卷,价格,中性
238,_,不是很开心,整体,负面
255,_,挺好用的,使用体验,正面
255,_,薄薄的很敷贴,使用体验,正面
255,精华也好多,好多,成分,正面
255,_,用完在买,整体,正面
251,_,挺好用的,整体,正面
251,_,推荐,整体,正面
251,_,支持,整体,正面
251,_,很服帖自然,使用体验,正面
272,物流,很快,物流,正面
272,包装,完好,包装,正面
272,服务,好,服务,正面
272,_,满意,整体,正面
277,面膜,很舒服,使用体验,正面
277,_,补水效果很好,功效,正面
274,_,挺好用的,整体,正面
274,香味,淡淡的,气味,正面
274,_,一天都不脱妆,使用体验,正面
265,_,还可以,整体,中性
265,_,能稍微去一点,功效,正面
261,_,好用,整体,正面
261,双十一,特便宜,价格,正面
260,_,买了这么久才收到,物流,负面
260,东西,都摔坏了,包装,负面
260,心情,十分感到失望,整体,负面
275,_,很好用,整体,正面
275,_,长期用,整体,正面
275,_,下次还买它,整体,正面
216,_,很好用,整体,正面
216,_,不油腻,使用体验,正面
216,_,最佳选择,整体,正面
216,_,有点小瓶了,尺寸,负面
216,_,用得快,其他,中性
216,_,下次再购买,整体,正面
266,_,还可以,整体,中性
266,_,有点干,使用体验,负面
266,_,没有提亮肤色的效果,功效,负面
266,_,有点暗淡,使用体验,负面
267,_,好用,整体,正面
267,_,便宜,价格,正面
267,_,大碗,整体,正面
267,_,简单通透,使用体验,正面
232,_,很好,整体,正面
232,物流,很快,物流,正面
232,_,越做越好,整体,正面
232,_,越来越便宜,价格,正面
232,_,加油,整体,正面
280,_,效果真的不错,整体,正面
280,_,是正品,真伪,正面
256,活动,不给力,价格,负面
256,_,快捷,整体,正面
256,_,方便,整体,正面
256,_,不错,整体,正面
256,_,不错,整体,正面
276,_,超级差,整体,负面
276,_,卡粉,使用体验,负面
276,_,无敌卡粉,使用体验,负面
276,遮瑕,一点也不遮瑕,功效,负面
276,_,别买,整体,负面
271,_,好的很,整体,正面
271,_,很喜欢用,整体,正面
271,_,很滋养皮肤,使用体验,正面
271,_,美美哒,整体,正面
286,_,挺好用,整体,正面
269,味道,很奇怪,气味,负面
269,_,油漆味,气味,负面
269,_,辣眼睛,使用体验,负面
269,防晒效果,_,功效,中性
287,_,挺好的,整体,正面
289,_,挺好用的,整体,正面
290,_,真品,真伪,正面
279,_,正品,真伪,正面
279,_,实惠,价格,正面
279,快递,很快,物流,正面
279,_,满意,整体,正面
279,服务,很好,服务,正面
291,补水效果,很好,功效,正面
297,_,还可以,整体,正面
270,_,很滋润,使用体验,正面
270,_,好多精华,使用体验,正面
270,_,特别喜欢,整体,正面
293,_,不错,整体,正面
293,_,非常清爽，舒服,使用体验,正面
288,物流,很快,物流,正面
288,_,棒棒哒,整体,正面
278,_,稳和,整体,正面
278,_,不是那种细腻的泡泡,使用体验,负面
278,_,效果很一般,整体,中性
284,_,质量差,整体,负面
284,_,用了长痘痘，几天了还没消,使用体验,负面
295,_,长很多痘,使用体验,负面
301,_,不干燥,使用体验,正面
301,_,滑滑的,使用体验,正面
283,_,超级划算的,价格,正面
283,_,在外面店子是买不到的,价格,正面
283,包装,包装好看,包装,正面
283,_,品牌就是不一样,整体,正面
294,_,挺水润,使用体验,正面
294,_,服帖,使用体验,正面
294,_,稍微白了点接近自然色,功效,正面
294,_,还送了个替换芯,包装,正面
307,_,很好用,整体,正面
303,_,不错,整体,正面
303,_,脸上很舒服,使用体验,正面
304,_,不错,整体,正面
304,_,好评,整体,正面
299,_,不错,整体,正面
299,_,很服帖,使用体验,正面
299,_,物流也很快,物流,正面
299,_,放心的购买,整体,正面
241,_,一分钱买的,价格,中性
241,补水,还可以,功效,中性
241,精华液,很多,成分,正面
241,_,不错,整体,正面
308,_,不错,整体,正面
305,_,体面的,整体,正面
305,_,妈妈很喜欢,整体,正面
305,_,还送了小礼品,服务,正面
311,_,不错,整体,正面
311,_,很好用,整体,正面
316,_,很好,整体,正面
316,_,漂亮,整体,正面
312,_,很香,气味,正面
312,_,很白,功效,正面
312,_,还可以吧,整体,中性
281,_,味道清淡,气味,正面
281,_,也很细腻,使用体验,正面
281,_,一个小样都没有,服务,负面
281,_,这要是过敏怎么退啊,服务,负面
273,_,不错,整体,正面
273,价格,活动买合适,价格,正面
273,补水效果,不错的,功效,正面
273,面膜,经常用了,使用体验,正面
273,礼品袋,礼品袋装的就行,包装,中性
314,_,有点小过份了,整体,负面
285,_,还不错,整体,正面
285,_,一点也不卡粉,使用体验,正面
285,_,挺好的,整体,正面
285,_,有点小,尺寸,中性
282,_,正品，信任,真伪,正面
282,_,特别省,功效,正面
282,_,水水润润的,使用体验,正面
306,_,实惠,价格,正面
306,_,相信,整体,正面
318,上妆效果,还可以,功效,中性
323,包装,很好看,包装,正面
319,_,是正品,真伪,正面
319,_,价格一样,价格,中性
319,_,没有赠品,其他,负面
320,_,很好,整体,正面
320,_,保湿不错,功效,正面
320,_,价格合适,价格,正面
320,_,下次还会光临,整体,正面
292,_,很好用,整体,正面
326,保湿效果,很好,功效,正面
313,_,感觉不错,整体,正面
313,_,用了这个都可以不用bb霜,使用体验,正面
313,_,有遮瑕效果,功效,正面
313,_,提亮肤色,功效,正面
315,_,还不出错,使用体验,正面
315,_,挺好,整体,正面
315,_,相当实惠,价格,正面
325,_,勉强能用,使用体验,负面
325,价格,太高,价格,负面
329,_,一如既往的好,整体,正面
329,_,不错,整体,正面
328,_,不错,整体,正面
328,_,挺好用的,整体,正面
328,_,准备再买,整体,正面
302,外包装,外包装走鸡,包装,负面
302,_,买一赠一真好,价格,正面
296,_,很好用,使用体验,正面
296,_,都用了几年了,整体,正面
296,_,每次买店家都会送很多东西,服务,正面
324,补水效果,很好,功效,正面
324,面膜,很薄,使用体验,正面
331,_,很服帖,使用体验,正面
331,_,效果还看不出来,功效,中性
317,_,差评,整体,负面
317,面膜,太小了,尺寸,负面
317,面膜,盖不住,使用体验,负面
317,精华,太少,成分,负面
317,_,不够用,使用体验,负面
333,_,提亮肤色,功效,正面
333,_,不油腻,使用体验,正面
333,_,清新的感觉,使用体验,正面
334,味道,好闻,气味,正面
334,_,保湿效果好,功效,正面
309,_,快递真快,物流,正面
309,_,还有两个替换芯,价格,正面
309,_,很满意,整体,正面
309,_,镜子太模糊了，看不清,使用体验,负面
335,速度,很快,物流,正面
335,_,不错,整体,正面
339,_,有点干,使用体验,负面
341,_,很好,整体,正面
341,_,很喜欢,整体,正面
336,保湿,很保湿,功效,正面
336,_,有点油,使用体验,负面
336,_,不提亮肤色,功效,负面
298,赠品,忽悠骗人,服务,负面
298,_,最优惠,价格,正面
298,_,建议还是实体店买,整体,负面
337,_,很好,整体,正面
337,物流,给了,物流,正面
337,_,不错,整体,正面
337,_,不错,整体,正面
347,_,平价,价格,正面
347,_,补水不错,功效,正面
351,_,还不错,整体,正面
322,_,物美价廉,价格,正面
322,_,比双11贵,价格,负面
322,_,不能保价,价格,负面
310,粉底,太少了,成分,负面
310,_,很少,使用体验,负面
310,_,干干的,使用体验,负面
310,_,只有下面一层有粉底,使用体验,负面
350,_,脸上会出现白白的，会掉皮,使用体验,负面
350,_,没啥效果,功效,负面
332,_,适合我的黄皮肤,功效,正面
332,_,很不错,整体,正面
332,_,有点淡,使用体验,负面
332,_,涂少了看不出来,使用体验,负面
352,_,没什么感觉,整体,中性
340,_,不错,整体,正面
340,_,一直在用,整体,正面
340,_,送货很快,物流,正面
346,_,满满一大盒,整体,正面
346,包装,包装颜值超级高,包装,正面
346,_,期待用起来的效果,整体,正面
346,物流,物流真的超级快,物流,正面
346,_,太满意了,整体,正面
354,_,还算可以,整体,正面
321,速度,超快,物流,正面
321,_,优先选择,整体,正面
321,_,不会有失望,整体,正面
345,_,二次回购,整体,正面
345,_,从此以后离不开,整体,正面
345,_,温和,使用体验,正面
345,_,不紧绷,使用体验,正面
345,_,最大的好处,使用体验,正面
330,_,用了好多年了，一直在用,整体,正面
330,_,真的不错,整体,正面
